0,CombatZoneResize,113,231,548,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,151,336,41,0,90,1,
0,HeartTeleport,175,327,,,,,
0,BoneVRepeat,528,366,40,0,60,60,15
0,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.25,GasterBlaster,0,283,567,283,450,270,0.1,0.1
0.25,GasterBlaster,0,363,0,363,170,90,0.1,0.1
0.25,GasterBlaster,0,443,567,443,450,270,0.1,0.1
0.3,EndAttack,,,,,,,
